id,title,description,link,image_link,price,availability 
AE111,"Red Tiger Eye Bracelet, Tiger Eye Bead Bracelet, Men's Tiger Eye Bracelet","Matte red tigers eye bracelet made with sterling silver or 14k rose gold. 
Tigers eye is a protective gemstone known for its ability to ward off external ill wishes. The stone also inspires a strong sense of valor, opening possibilities to attract good fortune.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. ",https://www.etsy.com/listing/555209650/red-tiger-eye-bracelet-tiger-eye-bead,https://i.etsystatic.com/14453421/r/il/8b84be/3105820414/il_fullxfull.3105820414_abpc.jpg,24.99 ,IN STOCK
AE112,"Men's Tiger Eye Bead Necklace, Red Tiger Eye Beaded Necklace","Matte red tigers eye bracelet made with sterling silver or 14k rose gold. 
Tigers eye is a protective gemstone known for its ability to ward off external ill wishes. The stone also inspires a strong sense of valor, opening possibilities to attract good fortune.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. 


Matte red tigers eye necklace made with sterling silver or 14k rose gold. 
Tigers eye is a protective gemstone known for its ability to ward off external ill wishes. The stone also inspires a strong sense of valor, opening possibilities to attract good fortune.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. 



",https://www.etsy.com/listing/600500507/mens-tiger-eye-bead-necklace-red-tiger,https://i.etsystatic.com/14453421/r/il/f3146a/1499727251/il_fullxfull.1499727251_wgzd.jpg,66.00 ,IN STOCK
AE113,"Men's Hematite Bracelet, Beaded Hematite Bracelet, Gray Hematite Bracelet, Men's Beaded Bracelets","
Masculine style hematite bracelet made with 5mm cubic and rondelle styled beads. 
Hematite is an amulet stone beneficial for balance, grounding and circulation. This stone is also known to ease the mind and restore motivation.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. ",https://www.etsy.com/listing/524444580/mens-hematite-bracelet-beaded-hematite,https://i.etsystatic.com/14453421/r/il/5f43ba/1909083509/il_fullxfull.1909083509_450y.jpg,24.99 ,IN STOCK
AE114,"Unakite Bracelet, Bead Bracelet, Gemstone Jewelry","Unakite bracelet with sterling silver or 14k rose gold. 
Unakite is connected to the frequency of love, nature and stability.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.",https://www.etsy.com/listing/537241433/unakite-bracelet-bead-bracelet-gemstone,https://i.etsystatic.com/14453421/r/il/597808/1322905560/il_fullxfull.1322905560_49h4.jpg,29.99 ,IN STOCK
AE115,"Citrine Gemstone Bracelet, November Birthstone Bracelet, Citrine Bead Bracelet","Dainty style citrine and rutilated quartz bracelet, also made with clear quartz and gold plated hematite beads. 
Citrine quartz is a great stone to restore power, hope and bliss.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. ",https://www.etsy.com/listing/524243698/citrine-gemstone-bracelet-november,https://i.etsystatic.com/14453421/r/il/bb56b0/3072660055/il_fullxfull.3072660055_d761.jpg,33.00 ,IN STOCK
AE116,Ethiopian Black Opal Gemstone Bracelet,"
Black ethiopian opal bracelet made with sterling silver or 14k rose gold. 
Ethiopian opal symbolizes the release of trauma and awareness of new possibilities. 
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.",https://www.etsy.com/listing/1012493745/ethiopian-black-opal-gemstone-bracelet,https://i.etsystatic.com/14453421/r/il/e02a13/3131732579/il_fullxfull.3131732579_7t80.jpg,55.00 ,IN STOCK
AE117,"Rainbow Moonstone Bracelet, Rainbow Moonstone Bead Bracelet, Men's Rainbow Moonstone Bracelet, Women's Rainbow Moonstone Bracelet","
Masculine style rainbow moonstone bracelet with hematite beads. 
Rainbow moonstone bracelet with clear quartz and silver plated hematite beads. 
Rainbow moonstone reminds us about emotional awareness and psychic protection. 
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.
",https://www.etsy.com/listing/549851837/rainbow-moonstone-bracelet-rainbow,https://i.etsystatic.com/14453421/r/il/507b26/1374915317/il_fullxfull.1374915317_92lr.jpg,27.99 ,IN STOCK
AE118,"Peridot Bead Bracelet, Birthstone Bracelet, August Birthstone Jewelry, Bright Green Gemstone Bracelet","Bright Green peridot bracelet made with sterling silver beads. 
Peridot is a great gemstone for healing negative emotions and becoming more spiritually connected.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.",https://www.etsy.com/listing/523860214/peridot-bead-bracelet-birthstone,https://i.etsystatic.com/14453421/r/il/875376/3072656019/il_fullxfull.3072656019_9bmd.jpg,44.00 ,IN STOCK
AE119,"Rainbow Moonstone Bracelet, Women's Moonstone Bracelet","Rainbow moonstone bracelet with clear quartz and silver plated hematite beads. 
Rainbow moonstone reminds us about emotional awareness and psychic protection. 
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.",https://www.etsy.com/listing/633175450/rainbow-moonstone-bracelet-womens,https://i.etsystatic.com/14453421/r/il/50d076/3153503805/il_fullxfull.3153503805_r86t.jpg,27.99 ,IN STOCK
AE120,"Men's Black Onyx Bracelet, Black Onyx Bead Bracelet, Black Onyx Jewelry","Masculine style black onyx bracelet with a single pyrite bead. 
Black onyx is an ancient healing stone known for its protective energies of repelling negative energies.
Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.",https://www.etsy.com/listing/540022577/mens-black-onyx-bracelet-black-onyx-bead,https://i.etsystatic.com/14453421/r/il/089ce3/2438629327/il_fullxfull.2438629327_r7rg.jpg,29.99 ,IN STOCK
,,,,,,
