TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
"Red Tiger Eye Bracelet, Tiger Eye Bead Bracelet, Men's Tiger Eye Bracelet","Red Tiger Eye Bead Bracelet

Details
• Red tiger eye (matte)
• Rose gold or sterling silver 
• Gemstone beads measure 6mm
• Made with satin silver or gold beading wire 

💎  Metaphysical Healing 
Tiger Eye is a protective gemstone, known for its ability to ward off external ill wishes. The stone also inspires a strong sense of valor, opening possibilities to attract good fortune. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",24.99,USD,1,"Tiger_Eye_Bracelet,Wood_Bead_Bracelet,Red_Tiger_Eye,Minimalist_Bracelet,For_Men,Red_Tiger_Eye_Bead,Bracelet,Matte_Tiger_Eye,Spiritual_Bead,Bracelet_For_Men,Men's,Gemstone_Bracelet","Red Tiger Eye,Rose Gold,Sterling Silver,Lobster Clasp,Satin Silver",https://i.etsystatic.com/14453421/r/il/8b84be/3105820414/il_fullxfull.3105820414_abpc.jpg,https://i.etsystatic.com/14453421/r/il/759b9f/1411448335/il_fullxfull.1411448335_9kn8.jpg,https://i.etsystatic.com/14453421/r/il/7d2eec/1364022920/il_fullxfull.1364022920_4joc.jpg,,,,,,,,Color,Primary color,"Silver,Rose gold",Length,Bracelet length,"6,7,8,9,10",
"Men's Tiger Eye Bead Necklace, Red Tiger Eye Beaded Necklace","Red Tiger Eye Bead Necklace 

Details 
• Red Tiger Eye
• Sterling silver or 14k rose golds 
• Lobster claw ending 
• Strung on durable beading wire 
• Beads measure 6mm

*Please allow 1-3 days for your necklace to be made. 

💎  Metaphysical Healing 
Tiger Eye is a protective gemstone, known for its ability to ward off external ill wishes. The stone also inspires a strong sense of valor, opening possibilities to attract good fortune. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",66,USD,1,"Tiger_Eye_Jewelry,Beaded_Necklaces,Mens,Beaded_Necklace,Red_Tiger_Eye,Bead_Necklace,Mens_Tiger_Eye","Rose Gold,Sterling Silver,Red Tiger Eye",https://i.etsystatic.com/14453421/r/il/f3146a/1499727251/il_fullxfull.1499727251_wgzd.jpg,https://i.etsystatic.com/14453421/r/il/ec9265/1452476124/il_fullxfull.1452476124_pqnn.jpg,https://i.etsystatic.com/14453421/r/il/41e9d4/1499727093/il_fullxfull.1499727093_s9rb.jpg,,,,,,,,Secondary color,Secondary color,"Silver,Rose gold",Length,Necklace length,"24,30",
"Men's Hematite Bracelet, Beaded Hematite Bracelet, Gray Hematite Bracelet, Men's Beaded Bracelets","Men's/Unisex Hematite Bracelet 
• Hematite
• 5mm beads
• Made with durable stretch cord 

💎 Metaphysical Healing
Hematite is an amulet stone beneficial for balance, grounding and circulation. This stone is also known to ease the mind and restore motivation. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking the link below. 
ARTLESSessentials.etsy.com",24.99,USD,1,"Men's_Hematite,Bracelet,Beaded,Hematite_Bracelets,Gray,Hematite_Bracelet,Men's,Beaded_Bracelets,Gemstone_Bracelet,Hematite_Jewelry,Black_Bracelet",Gemstone,https://i.etsystatic.com/14453421/r/il/5f43ba/1909083509/il_fullxfull.1909083509_450y.jpg,https://i.etsystatic.com/14453421/r/il/043ab9/1385784952/il_fullxfull.1385784952_9fnq.jpg,,,,,,,,,Size,Size,"7,8,9,10",,,,
"Unakite Bracelet, Bead Bracelet, Gemstone Jewelry","Women's Unakite Bracelet 
• Unakite jasper 
• Peach moonstone 
• Rose gold and sterling silver variations 
• 6mm beads
• Made using professional, durable stretch cord 
• Please order the bracelet in a half size (0.5 inches) larger than your natural wrist size. This ensures maximum comfort and maintains the longevity of your bracelet. 

💎Metaphysical Healing 
Unakite is connected to the frequency of love, nature and stability. 

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",29.99,USD,1,"Unakite_Bracelet,Beaded_Bracelet,Gemstone_Jewelry,Unakite_Bead,Bracelet,Women's,Bead_Bracelet",Rose gold,https://i.etsystatic.com/14453421/r/il/597808/1322905560/il_fullxfull.1322905560_49h4.jpg,https://i.etsystatic.com/14453421/r/il/87632d/1399258174/il_fullxfull.1399258174_kf5b.jpg,https://i.etsystatic.com/14453421/r/il/afb80d/1398660225/il_fullxfull.1398660225_fuxu.jpg,https://i.etsystatic.com/14453421/r/il/936750/1446530143/il_fullxfull.1446530143_s503.jpg,,,,,,,Length,Bracelet length,"6,7,8,9,10",Secondary color,Secondary color,"Silver,Rose gold",
"Citrine Gemstone Bracelet, November Birthstone Bracelet, Citrine Bead Bracelet","Citrine Bead Bracelet 

Details
 ∙ Citrine
 ∙ Rutilated quartz 
 ∙ Gold hematite 
 ∙ Beads measure 5mm

💎 Metaphysical Healing 
Citrine Quartz is a great stone to restore power. Matching your vibration with this stone’s frequency can help release the fears that hold back humane free will, which ultimately leads to expansion and success in our lives. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.**

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.**

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",33,USD,1,"Citrine_Bracelet,Gemstone_Bracelet,November_Birthstone,Bead_Bracelet,Stretch_Bead,Bracelet","Citrine,Gemstone",https://i.etsystatic.com/14453421/r/il/bb56b0/3072660055/il_fullxfull.3072660055_d761.jpg,https://i.etsystatic.com/14453421/r/il/1e88e6/1433594805/il_fullxfull.1433594805_2e9e.jpg,https://i.etsystatic.com/14453421/r/il/659dca/2010714043/il_fullxfull.2010714043_29vv.jpg,,,,,,,,Size,Size,"6,7,8,9",,,,
Ethiopian Black Opal Gemstone Bracelet,"Ethiopian Black Opal Bracelet 
• Natural Ethiopian opal (4.5mm beads)
• Sterling silver or 14k rose gold 
• Lobster clasp closure 

Made with satin gold beading wire. 

💎Metaphysical Healing 
Ethiopian opal symbolizes the release of trauma and awareness of new possibilities.

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. *

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQs for more info.*

Browse other gemstone jewelry in the shop by clicking here:
ARTLESSessentials.etsy.com",55,USD,1,,,https://i.etsystatic.com/14453421/r/il/e02a13/3131732579/il_fullxfull.3131732579_7t80.jpg,https://i.etsystatic.com/14453421/r/il/be017f/3057577096/il_fullxfull.3057577096_ecmu.jpg,https://i.etsystatic.com/14453421/r/il/3be083/3057685136/il_fullxfull.3057685136_io0l.jpg,,,,,,,,Length,Bracelet length,"6,6.5,7,7.5,8,8.5,9,9.5,10",Color,Primary color,"Silver,Rose gold",
"Rainbow Moonstone Bracelet, Rainbow Moonstone Bead Bracelet, Men's Rainbow Moonstone Bracelet, Women's Rainbow Moonstone Bracelet","Rainbow Moonstone Bracelet 
• Rainbow moonstone 
• Hematite 
• Crystal quartz 
• 4-5mm beads 
• Feminine & masculine styles 

💎Metaphysical Healing 
Moonstone is an amulet stone which encourages healthy emotional expression and nurturance of the mind, body and spirit.

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.**

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",27.99,USD,1,"Moonstone_Bracelet,For_Men,Bracelet,Bead_Bracelet,Beaded_Bracelet,White_Moonstone,Gemstone_Bracelet,Gemstone,Chakra_Healing,Rainbow_Moonstone,Bead_Bracelets",Moonstone,https://i.etsystatic.com/14453421/r/il/507b26/1374915317/il_fullxfull.1374915317_92lr.jpg,https://i.etsystatic.com/14453421/r/il/011892/3154280405/il_fullxfull.3154280405_jwgk.jpg,https://i.etsystatic.com/14453421/r/il/1dacbb/1317009831/il_fullxfull.1317009831_ejgv.jpg,https://i.etsystatic.com/14453421/r/il/c47b45/3106567754/il_fullxfull.3106567754_fkxk.jpg,https://i.etsystatic.com/14453421/r/il/39e14a/3106567756/il_fullxfull.3106567756_4hrq.jpg,,,,,,Length,Bracelet length,"6,7,8,9,10",Style,Style,"Masculine,Feminine",
"Peridot Bead Bracelet, Birthstone Bracelet, August Birthstone Jewelry, Bright Green Gemstone Bracelet","Women's Peridot Bead Bracelet 
• Peridot 
• Sterling Silver 
• Lobster claw closure 
• Beads measure 5mm

Choose between satin silver beading wire or elastic fiber options:
• The elastic/stretch fiber cord allows more flexibility, while the satin silver beading wire adds more structure to the bracelet. The elastic fiber cord option cost more because it requires more work to put the bracelet together.

Metaphysical Healing  💎
Peridot is a great gemstone for healing negative emotions and becoming more spiritually connected.

** Energy healing can be very beneficial in collaboration with general health care treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care. **

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",44,USD,1,"Peridot_Birthstone,Bracelet,August,Birthstone_Bracelet,Peridot_Bracelet,With_Sterling_Silver,Peridot,Bead_Bracelet,Gemstone_Bracelet,Bright_Green,Sterling_Silver,Peridot_Jewelry",Peridot,https://i.etsystatic.com/14453421/r/il/875376/3072656019/il_fullxfull.3072656019_9bmd.jpg,https://i.etsystatic.com/14453421/r/il/d88c68/1450373047/il_fullxfull.1450373047_dhu9.jpg,https://i.etsystatic.com/14453421/r/il/1fd349/1400447028/il_fullxfull.1400447028_9j3b.jpg,,,,,,,,Material,Material,"Satin Silver,Stretch Fiber",Length,Bracelet length,"6,6.5,7,7.5,8,8.5,9",
"Rainbow Moonstone Bracelet, Women's Moonstone Bracelet","Women's Moonstone Bracelet 
• Rainbow moonstone 
• Hematite
• Crystal quartz
• 4.5-5mm

Metaphysical Healing 💎
Moonstone is a powerful emotional healer.  The name of the stone is no coincidence. It tunes the wearer in with the waxing and waning cycles of the moon, which is strongly connected with ovulation and fertility cycles. The lunar cycles allows us to get in touch with the emotional rhythms in life, which influences our reactivity. This stone also provides psychic protection. 

*Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.*

*A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. Read FAQ for more info.*

The men’s rainbow moonstone bracelet can be found here: 
https://etsy.me/2Srn0gf

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com",27.99,USD,1,"Moonstone,Sterling_Silver,Bracelet,Rainbow_Moonstone,Bead_Bracelet,Beaded_Moonstone,Silver_Bracelet,Womens_Moonstone,Gemstone_Bracelet,Moonstone_Jewelry,Stretch_Bracelet","Moonstone,Stone",https://i.etsystatic.com/14453421/r/il/50d076/3153503805/il_fullxfull.3153503805_r86t.jpg,https://i.etsystatic.com/14453421/r/il/ea3a80/1432545109/il_fullxfull.1432545109_g8pv.jpg,https://i.etsystatic.com/14453421/r/il/a19ced/1469667713/il_fullxfull.1469667713_pqn7.jpg,https://i.etsystatic.com/14453421/r/il/e0cee2/3105817210/il_fullxfull.3105817210_il8p.jpg,,,,,,,Length,Bracelet length,"6,7,8,9,10",,,,
"Men's Black Onyx Bracelet, Black Onyx Bead Bracelet, Black Onyx Jewelry","Black Onyx Bead Bracelet 

• Matte Black Onyx 
• Pyrite 
• Stainless steel lobster claw closure 
• Beads measure 8mm 
• Made with durable stretch cord
• Please select the size that is a half inch (.5 in) over your natural wrist size. This will ensure maximum comfort and the longevity of your bracelet.

Metaphysical Healing 💎
Black onyx is an ancient healing stone, known for its protective energies of repelling negative energies. 

** Energy healing can be very beneficial in collaboration with general healthcare treatments. The purpose of energy healing, is in becoming more aware of our self internally, promoting temperance and self-healing capabilities. However, these are metaphysical benefits and should not be substituted for traditional medical care.**

**A portion of your purchase will be contributed towards the Aid Africa Organization. Aid Africa is responsible for improving the health and well being of many women and children in Uganda. Charitable funds go towards rebuilding sustainable communities in Sub-Saharan Africa. See FAQ for more info. **

Browse other gemstone jewelry in the shop by clicking here: 
ARTLESSessentials.etsy.com

I thank you kindly for stopping by!",29.99,USD,1,"Men's_Matte_Onyx,Bead_Bracelet,Men's_Jewelry,With_Black_Onyx,Spiritual_Jewelry,For_Men,Bead_Bracelets,Men's_Black_Beaded,Bracelet,Matte_Black_Onyx,Black_Agate","Onyx,Gemstone",https://i.etsystatic.com/14453421/r/il/089ce3/2438629327/il_fullxfull.2438629327_r7rg.jpg,https://i.etsystatic.com/14453421/r/il/5cb44d/1313768473/il_fullxfull.1313768473_ofnb.jpg,,,,,,,,,Length,Bracelet length,"6,7,8,9,10",,,,
